area,source,size_m2,price_jod,price_per_m2
دابوق,bayut,260,260000,1000
دابوق,bayut,240,280000,1167
دابوق,bayut,190,185000,974
دابوق,bayut,283,215000,760
دابوق,bayut,163,180000,1104
دابوق,bayut,265,330000,1245
دابوق,bayut,340,490000,1441
دابوق,bayut,260,320000,1231
دابوق,bayut,414,245000,592
دابوق,bayut,250,245000,980
دابوق,bayut,185,135000,730
دابوق,bayut,410,395000,963
دابوق,bayut,195,230000,1179
دابوق,bayut,600,450000,750
دابوق,bayut,330,485000,1470
دابوق,bayut,255,280000,1098
دابوق,bayut,359,310000,864
دابوق,bayut,332,310000,934
دابوق,bayut,170,220000,1294
دابوق,bayut,186,160000,860
دابوق,bayut,332,305000,919
دابوق,bayut,200,210000,1050
دابوق,bayut,280,330000,1179
دابوق,bayut,190,230000,1211
دابوق,bayut,325,250000,769
دابوق,bayut,215,220000,1023
دابوق,bayut,241,200000,830
دابوق,bayut,400,380000,950
دابوق,bayut,300,350000,1167
دابوق,bayut,328,450000,1372
دابوق,bayut,208,215000,1034
دابوق,bayut,420,520000,1238
دابوق,bayut,240,190000,792
دابوق,bayut,130,145000,1115
دابوق,opensooq,205,235000,1146
دابوق,opensooq,332,245000,738
دابوق,opensooq,275,275000,1000
دابوق,opensooq,265,215000,811
دابوق,opensooq,260,270000,1038
دابوق,opensooq,200,162000,810
دابوق,opensooq,225,220000,978
دابوق,opensooq,290,269000,928
دابوق,opensooq,430,450000,1047
دابوق,opensooq,300,425000,1417
دابوق,opensooq,200,160000,800
دابوق,opensooq,500,350000,700
دابوق,opensooq,265,210000,792
دابوق,opensooq,200,220000,1100
دير غبار,qoshan,325,275000,846
دير غبار,qoshan,190,150000,789
دير غبار,qoshan,330,395000,1197
دير غبار,qoshan,390,450000,1154
دير غبار,qoshan,180,145000,806
دير غبار,qoshan,200,220000,1100
دير غبار,qoshan,270,335000,1241
دير غبار,qoshan,290,290000,1000
دير غبار,qoshan,237,450000,1899
دير غبار,qoshan,287,250000,871
دير غبار,qoshan,120,120000,1000
دير غبار,qoshan,230,210000,913
دير غبار,qoshan,209,240000,1148
دير غبار,qoshan,310,350000,1129
دير غبار,qoshan,170,185000,1088
دير غبار,qoshan,99,95000,960
دير غبار,qoshan,287,380000,1324
دير غبار,qoshan,215,139000,647
دير غبار,qoshan,76,97000,1276
دير غبار,qoshan,440,440000,1000
دير غبار,qoshan,280,300000,1071
دير غبار,qoshan,193,140000,725
دير غبار,qoshan,366,290000,792
دير غبار,qoshan,238,210000,882
دير غبار,qoshan,215,200000,930
دير غبار,qoshan,413,280000,678
دير غبار,qoshan,200,145000,725
دير غبار,qoshan,265,230000,868
دير غبار,qoshan,243,210000,864
دير غبار,qoshan,170,165000,971
دير غبار,qoshan,236,225000,953
دير غبار,qoshan,98,79000,806
دير غبار,qoshan,188,210000,1117
دير غبار,qoshan,460,420000,913
دير غبار,qoshan,444,350000,788
دير غبار,qoshan,200,175000,875
دير غبار,qoshan,230,175000,761
دير غبار,qoshan,380,425000,1118
دير غبار,qoshan,240,130000,542
دير غبار,qoshan,176,155000,881
دير غبار,qoshan,180,160000,889
دير غبار,qoshan,150,110000,733
دير غبار,qoshan,174,99000,569
دير غبار,qoshan,310,300000,968
دير غبار,qoshan,155,155000,1000
دير غبار,qoshan,264,165000,625
دير غبار,qoshan,170,150000,882
دير غبار,qoshan,209,240000,1148
دير غبار,qoshan,180,125000,694
دير غبار,qoshan,88,75000,852
دير غبار,qoshan,180,198000,1100
دير غبار,qoshan,230,249000,1083
دير غبار,qoshan,230,150000,652
دير غبار,qoshan,150,170000,1133
دير غبار,qoshan,240,240000,1000
دير غبار,qoshan,330,270000,818
دير غبار,qoshan,204,160000,784
دير غبار,qoshan,180,195000,1083
دير غبار,bayut,265,255000,962
دير غبار,bayut,110,105000,955
دير غبار,bayut,145,109000,752
دير غبار,bayut,385,280000,727
دير غبار,bayut,250,285000,1140
دير غبار,bayut,185,185000,1000
دير غبار,bayut,200,140000,700
دير غبار,bayut,200,160000,800
دير غبار,bayut,175,135000,771
دير غبار,bayut,195,145000,744
دير غبار,bayut,220,185000,841
دير غبار,bayut,135,125000,926
دير غبار,bayut,220,185000,841
دير غبار,bayut,210,185000,881
دير غبار,bayut,215,185000,860
دير غبار,bayut,220,185000,841
دير غبار,bayut,215,185000,860
دير غبار,bayut,105,88000,838
دير غبار,bayut,175,145000,829
دير غبار,bayut,175,135000,771
دير غبار,bayut,175,150000,857
دير غبار,bayut,190,190000,1000
دير غبار,bayut,325,325000,1000
دير غبار,bayut,350,380000,1086
دير غبار,bayut,360,380000,1056
دير غبار,bayut,180,180000,1000
دير غبار,bayut,342,435000,1272
دير غبار,bayut,337,450000,1335
دير غبار,bayut,187,128000,684
دير غبار,bayut,150,140000,933
دير غبار,bayut,150,140000,933
دير غبار,bayut,150,150000,1000
دير غبار,bayut,250,240000,960
دير غبار,bayut,346,370000,1069
دير غبار,bayut,417,610000,1463
دير غبار,bayut,150,150000,1000
دير غبار,bayut,130,170000,1308
دير غبار,bayut,167,205000,1228
دير غبار,bayut,167,190000,1138
دير غبار,bayut,440,435000,989
دير غبار,bayut,217,255000,1175
دير غبار,bayut,250,300000,1200
دير غبار,bayut,250,280000,1120
دير غبار,bayut,215,158000,735
دير غبار,bayut,321,260000,810
دير غبار,bayut,202,160000,792
دير غبار,bayut,252,350000,1389
دير غبار,bayut,205,110000,537
دير غبار,bayut,187,135000,722
دير غبار,bayut,186,115000,618
دير غبار,bayut,188,155000,824
دير غبار,bayut,182,138000,758
دير غبار,bayut,120,100000,833
دير غبار,bayut,195,146000,749
دير غبار,bayut,182,155000,852
دير غبار,bayut,300,420000,1400
دير غبار,bayut,390,580000,1487
دير غبار,bayut,250,350000,1400
دير غبار,bayut,250,350000,1400
دير غبار,bayut,250,290000,1160
