area,source,size_m2,price_jod,price_per_m2,title
عبدون,opensooq,260,250000,962,شقة مميزة للبيع في عبدون  -  قرب السفارة البريطانية طابق ثاني 260م تشطيب سوبر ديلوكس
عبدون,opensooq,190,205000,1079,شقة فاخرة للبيع في عبدون  -  قرب السفارة الأسترالية طابق اول 190م تشطيب سوبر ديلوكس
عبدون,opensooq,430,350000,814,رووف طابقي مميز للبيع عبدون مساحة 430م مع تراسات تشطيبات فاخرة منطقة فلل اطلالة رائعة جديد لم يسكن
عبدون,opensooq,230,165000,717,شقق جديدة للبيع في أجمل مواقع عبدون مساحات 230م تشطيبات ديكورات فاخرة اطلالة رائعة بأسعار مميزة جداً
عبدون,opensooq,230,190000,826,شقة مميزة للبيع في عبدون الشمالي  - قرب السفارة الهولندية طابق اول 230م تشطيب سوبر ديلوكس بسعر مغري
عبدون,opensooq,222,160000,721,شقه مفروشه للبيع روف222م عبدون
عبدون,opensooq,230,250000,1087,شقة فاخرة للبيع في عبدون الشمالي  -  قرب السفارة الهولندية طابق اول 230م تشطيب سوبر ديلوكس
عبدون,opensooq,260,330000,1269,شقة أرضية مميزة للبيع في عبدون الشمالي  - قرب السفارة الهولندية 260م حديقة وترسات 150م
عبدون,opensooq,155,200000,1290,شقة مفروشة فاخرة للبيع في عبدون الشمالي  - قرب السفارة اليابانية طابق ثاني 155م تشطيب سوبر ديلوكس
عبدون,opensooq,318,235000,739,روف طابقي فاخر للبيع في عبدون الشمالي  - قرب السفارة الأندونيسية 318م تشطيب سوبر ديلوكس بسعر مغري
عبدون,opensooq,175,120000,686,شقة مفروشة فاخرة للبيع في عبدون  -  قرب إشارة الملكية الأردنية طابق ثالث 175م مع روف 85م بسعر مغري
عبدون,opensooq,500,480000,960,طابق 500 متر للبيع في عبدون
عبدون,opensooq,133,170000,1278,شقة تصلح للإستثمار طابق ارضي 133م بالقرب من السفارة البريطانية في عبدون / ref 1371
عبدون,opensooq,300,345000,1150,شقة للبيع في أجمل مناطق عبدون بمساحة داخلية 300م وخارجي 250م بسعر مغري
عبدون,opensooq,290,330000,1138,في عبدون بالقرب من تاج مول و السفارة السوريه شقة شبه أرضي 290م مميزة / ref 1225
عبدون,opensooq,350,250000,714,بالقرب من تاج مول شقة طابق ثاني مفروشة جزئي 350م بسعر مميز / ref 1224
عبدون,opensooq,260,118000,454,بالقرب من السفارة السوريه في ربوة عبدون شقة طابق رابع (دوبلكس)260م بسعر مميز / ref 1226
عبدون,opensooq,230,380000,1652,شقة أرضية مميزة 230م داخلي / 50م خارجي في أجمل مناطق عبدون/ ref 4081
عبدون,opensooq,200,205000,1025,بالقرب من السفارة الهولندية شقة مفروشة شبه أرضي 200م بسعر مميز / ref 1219
عبدون,opensooq,285,250000,877,في أجمل مناطق عبدون شقة طابق أخير مع روف 285م بتشطيبات مميزة/ ref 9039
عبدون,opensooq,112,125000,1116,شقة استثمارية طابق أول 112م مفروشة في أرقى مناطق عبدون/ ref 1036
عبدون,opensooq,210,135000,643,في أرقى مناطق عبدون شقة شبه أرضي مع حديقة 210م  مفروشة  وبسعر مغري / ref 1022
عبدون,opensooq,306,310000,1013,شقة أرضية مميزه 306م في أجمل مناطق عبدون / ref 1032
عبدون,opensooq,130,135000,1038,فرصة استثمارية سكنية بالقرب من السفارة البريطانية في عبدون شقه اخير مع روف 130م مفروشة  بسعر مميز /
عبدون,opensooq,360,440000,1222,في عبدون الشمالي شقة اخير مع روف 360م بتشطيبات راقية واطلاله مميزة/ ref 1197
عبدون,opensooq,100,125000,1250,في عبدون الشمالي شقة استثمارية سكنية مفروشة طابق أول 100م بسعر مغري/ ref 1190
عبدون,opensooq,180,180000,1000,في أجمل مناطق عبدون الشمالي شقة أخير مع روف 180م مفروشة جزئي للبيع بسعر مميز / ref 1193
عبدون,opensooq,182,200000,1099,في موقع مميز في عبدون شقة طابق أول 182م بسعر مميز / ref 1028
عبدون,opensooq,210,290000,1381,بالقرب من السفارة السعودية شقةأرضية 210م في عبدون بسعر مغري / ref 1059
عبدون,opensooq,455,400000,879,تملك عقار مميز شقة أرضي معلق 455م بتشطيبات مميزة في أجمل مناطق عبدون / ref 9399
عبدون,opensooq,300,345000,1150,شبه أرضي بتشطيب فلل في أجمل مناطق عبدون بمساحة داخلية 300م وخارجي 250م بسعر مغري
عبدون,opensooq,125,160000,1280,بالقرب من السفارة الامريكيه شقه شبه أرضي 125م في أجمل مناطق عبدون /ref 1361
عبدون,opensooq,240,300000,1250,في عبدون وبالقرب من السفارة الامريكيه شقة شبه ارضي 240م تحت الإنشاء / ref 1363
عبدون,opensooq,210,231000,1100,في موقع راقي ومميز شقة أرضية 210م بمواصفات عالية وراقية جدا في أرقى مناطق عبدون / ref 9755
عبدون,opensooq,450,480000,1067,بالقرب من دوار الاسره في عبدون شقة مميزة أخير مع روف 450م بسعر مميز / ref 1165
عبدون,opensooq,240,280000,1167,في عبدون خلف السفارة البريطانية شقة أرضية 240م بسعر مميز / ref 1185
عبدون,opensooq,352,355000,1009,عقار يستحق المشاهده شقة دوبلكس (أرضيه) 352م مع حديقة 400م بسعر مميز في عبدون/ ref 9572
عبدون,opensooq,200,139000,695,في أرقى مناطق عبدون شقة مفروشة أرضي معلق 200م بسعر مميز وتشطيبات راقيه/ ref 9557
عبدون,opensooq,280,400000,1429,بالقرب من السفارة البريطانية شقة أرضية مفروشة جزئي 280م بسعر مميز / ref 1187
