area,title,size_m2,price_jod,price_per_m2,url
عبدون,أخير مع رووف 350م دوبلكس في عبدون,350,490000,1400,https://qoshan.com/property/%d8%a3%d8%ae%d9%8a%d8%b1-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-350%d9%85-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق فخمة بمساحات مختلفة قيد الإنشاء في عبدون,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d9%81%d8%ae%d9%85%d8%a9-%d8%a8%d9%85%d8%b3%d8%a7%d8%ad%d8%a7%d8%aa-%d9%85%d8%ae%d8%aa%d9%84%d9%81%d8%a9-%d9%82%d9%8a%d8%af-%d8%a7%d9%84%d8%a5%d9%86%d8%b4%d8%a7%d8%a1-%d9%81%d9%8a/
عبدون,شقق أرضية 2 و 3 نوم مع حديقة في أرقى أحياء عبدون,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-2-%d9%88-3-%d9%86%d9%88%d9%85-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%81%d9%8a-%d8%a3%d8%b1%d9%82%d9%89-%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9/
عبدون,شقق 120م للبيع في عبدون,120,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-120%d9%85-%d9%84%d9%84%d8%a8%d9%8a%d8%b9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة أرضية 310م مع حديقة في عبدون الشمالي,310,450000,1452,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-310%d9%85-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86-%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a/
عبدون,ڤلل متلاصقة 720م في أفضل أحياء عبدون,720,1600000,2222,https://qoshan.com/property/%da%a4%d9%84%d9%84-%d9%85%d8%aa%d9%84%d8%a7%d8%b5%d9%82%d8%a9-720%d9%85-%d9%81%d9%8a-%d8%a3%d9%81%d8%b6%d9%84-%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق فخمة 270م قرب السفارة الأمريكية في عبدون,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d9%81%d8%ae%d9%85%d8%a9-270%d9%85-%d9%82%d8%b1%d8%a8-%d8%a7%d9%84%d8%b3%d9%81%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d8%b1%d9%8a%d9%83%d9%8a%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8/
عبدون,شقق 2 نوم تحت الإنشاء في عبدون,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-2-%d9%86%d9%88%d9%85-%d8%aa%d8%ad%d8%aa-%d8%a7%d9%84%d8%a5%d9%86%d8%b4%d8%a7%d8%a1-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق طابقية 425م في أفضل مواقع عبدون,425,640000,1506,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-425%d9%85-%d9%81%d9%8a-%d8%a3%d9%81%d8%b6%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق 3 و 4 نوم قيد الإنشاء في أجمل مناطق عبدون,,,,https://qoshan.com/property/%d8%b4%d9%82%d9%82-3-%d9%88-4-%d9%86%d9%88%d9%85-%d9%82%d9%8a%d8%af-%d8%a7%d9%84%d8%a5%d9%86%d8%b4%d8%a7%d8%a1-%d9%81%d9%8a-%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%86%d8%a7%d8%b7%d9%82-%d8%b9%d8%a8%d8%af/
عبدون,شقق 165متر في عبدون الشمالي,165,225000,1364,https://qoshan.com/property/%d8%b4%d9%82%d9%82-165%d9%85%d8%aa%d8%b1-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86-%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a/
