area,title,size_m2,price_jod,price_per_m2,url
عبدون,شقة طابقية أرضية 450متر مع حديقة كبيرة في عبدون,450,550000,1222,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-450-%d9%85%d8%aa%d8%b1-%d8%a8%d8%aa%d8%b4%d8%b7%d9%8a%d8%a8%d8%a7%d8%aa-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة 365 متر مع حديقة وبركة سباحة في عبدون,365,445000,1219,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-365-%d9%85%d8%aa%d8%b1-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%88%d8%a8%d8%b1%d9%83%d8%a9-%d8%b3%d8%a8%d8%a7%d8%ad%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة أرضية على مستوى الشارع 320م مع حديقة 250م,320,390000,1219,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%b9%d9%84%d9%89-%d9%85%d8%b3%d8%aa%d9%88%d9%89-%d8%a7%d9%84%d8%b4%d8%a7%d8%b1%d8%b9-320%d9%85-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-250%d9%85/
عبدون,شقة أرضية دوبلكس في أرقى مناطق عبدون,310,375000,1210,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%81%d9%8a-%d8%a3%d8%b1%d9%82%d9%89-%d9%85%d9%86%d8%a7%d8%b7%d9%82-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق أرضية مع حديقة وبركة سباحة في عبدون,560,675000,1205,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%88%d8%a8%d8%b1%d9%83%d8%a9-%d8%b3%d8%a8%d8%a7%d8%ad%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق 350م بأعلى المواصفات وأجمل مواقع عبدون,350,420000,1200,https://qoshan.com/property/%d8%b4%d9%82%d9%82-350%d9%85-%d8%a8%d8%a3%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d9%88%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af/
عبدون,شقة أرضية دوبلكس مع 300 متر ترسات وحدائق في عبدون,400,480000,1200,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%85%d8%b9-300-%d9%85%d8%aa%d8%b1-%d8%aa%d8%b1%d8%b3%d8%a7%d8%aa-%d9%88%d8%ad%d8%af%d8%a7%d8%a6%d9%82-%d9%81/
عبدون,رووف بأعلى المواصفات واطلالة مميزة في عبدون,500,595000,1190,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d8%a8%d8%a3%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d9%88%d8%a7%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a/
عبدون,شقة أرضية 295م مع حديقة كبيرة في عبدون,295,350000,1186,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-295%d9%85-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%83%d8%a8%d9%8a%d8%b1%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقق طابقية مميزة في أجمل مواقع عبدون,430,500000,1163,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة دوبلكس مميزة مع رووف  في عبدون,334,385000,1153,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة 141م بمواصفات عالية للبيع في عبدون,141,162000,1149,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-141%d9%85-%d8%a8%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d8%b9%d8%a7%d9%84%d9%8a%d8%a9-%d9%84%d9%84%d8%a8%d9%8a%d8%b9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة أرضية مميزة مع حديقة في عبدون,156,179000,1147,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة أرضية دوبلكس مع حديقة كبيرة في عبدون,395,450000,1139,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%83%d8%a8%d9%8a%d8%b1%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88/
عبدون,شقة أرضية استثمارية بموقع ممتاز في عبدون,146,165000,1130,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%a7%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1%d9%8a%d8%a9-%d8%a8%d9%85%d9%88%d9%82%d8%b9-%d9%85%d9%85%d8%aa%d8%a7%d8%b2-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af/
عبدون,شقة إستثمارية مفروشة 2 نوم بالقرب من السفارة الأمريكية,79,89000,1127,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a5%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1%d9%8a%d8%a9-%d9%85%d9%81%d8%b1%d9%88%d8%b4%d8%a9-2-%d9%86%d9%88%d9%85-%d8%a8%d8%a7%d9%84%d9%82%d8%b1%d8%a8-%d9%85%d9%86-%d8%a7%d9%84%d8%b3/
عبدون,شقة أرضية 310م مع مدخل و كراج مستقل في عبدون,310,345000,1113,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-310%d9%85-%d9%85%d8%b9-%d9%85%d8%af%d8%ae%d9%84-%d9%88-%d9%83%d8%b1%d8%a7%d8%ac-%d9%85%d8%b3%d8%aa%d9%82%d9%84-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88/
عبدون,شقة أرضية 100 متر مفروشة في عبدون,100,110000,1100,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-100-%d9%85%d8%aa%d8%b1-%d9%85%d9%81%d8%b1%d9%88%d8%b4%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,رووف 300م بأعلى المواصفات وبأرقى أحياء عبدون,300,320000,1067,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-300%d9%85-%d8%a8%d8%a3%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d9%88%d8%a8%d8%a3%d8%b1%d9%82%d9%89-%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9/
عبدون,شقق مميزة 275 متر في عبدون,275,275000,1000,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-275-%d9%85%d8%aa%d8%b1-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
