area,floor_type,size_m2,price_jod,price_per_m2,source,title,url
دير غبار,أرضي,235,285000,1213,السوق المفتوح,شقة أرضية فاخرة للبيع في دير غبار - قرب جونيا 235م مع حديقة وترسات 100م لم تسكن,
دير غبار,أرضي,95,118000,1242,السوق المفتوح,شقة للبيع طابق ارضي 95م مع ترس 50م (سكنية - استثمارية) في ديرغبار شارع ال 60 ، مطبخ راكب ، تدفئة غاز,
دير غبار,أرضي,182,240000,1319,السوق المفتوح,شقة أرضية فاخرة للبيع في دير غبار - قرب جونيا 182م مع ترسات 100م تشطيب سوبر ديلوكس لم تسكن,
دير غبار,أرضي,287,380000,1324,قوشان,شقة أرضية في أجمل مواقع ديرغبار,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%81%d9%8a-%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%af%d9%8a%d8%b1%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,أرضي,182,250000,1374,السوق المفتوح,شقة بتطشيبات فخمة طابق ارضي شمال مساحة 182م للبيع في دير غبار,
دير غبار,أرضي,185,265000,1432,السوق المفتوح,شقة شبه ارضي بتشطيبات فندقية مساحة 185م2 مع ترس 130م2 بارقى مناطق دير غبار,
دير غبار,أرضي,200,350000,1750,السوق المفتوح,خلف نقابة المقاولين شقة أرضية 200م في دير غبار / ref 1255,
دير غبار,أرضي,,320000,,قوشان,شقة أرضية مفروشة على مستوى الشارع في دير غبار,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d9%81%d8%b1%d9%88%d8%b4%d8%a9-%d8%b9%d9%84%d9%89-%d9%85%d8%b3%d8%aa%d9%88%d9%89-%d8%a7%d9%84%d8%b4%d8%a7%d8%b1%d8%b9-%d9%81%d9%8a-%d8%af%d9%8a/
دير غبار,أرضي,167,,,قوشان,شقق أرضية 3 نوم بتصميم عصري في دير غبار,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-3-%d9%86%d9%88%d9%85-%d8%a8%d8%aa%d8%b5%d9%85%d9%8a%d9%85-%d8%b9%d8%b5%d8%b1%d9%8a-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,أرضي,,210000,,قوشان,شقة طابق ارضي للبيع في ديرغبار مساحتها 180 متر مع حديقة 150 متر,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82-%d8%a7%d8%b1%d8%b6%d9%8a-%d9%84%d9%84%d8%a8%d9%8a%d8%b9-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1%d8%ba%d8%a8%d8%a7%d8%b1-%d9%85%d8%b3%d8%a7%d8%ad%d8%aa%d9%87%d8%a7-1/
دير غبار,أرضي+روف,215,200000,930,السوق المفتوح,شقه شبه ارضيه بمدخل مستقل بمساحه 215 م موجود مكرر وارضي وروف بمساحه 230 م ومساحه 190 م استغل الفرصه,
دير غبار,روف,375,210000,560,السوق المفتوح,شقة دوبلكس (أخير مع روف)375م مفروشة في أرقى مناطق دير غبار / ref 2069,
دير غبار,روف,365,300000,822,السوق المفتوح,روف مميز للبيع 365م في أجمل مناطق دير غبار وكردور عبدون / ref 9910,
دير غبار,روف,265,230000,868,قوشان,أخير مع رووف باطلالة دائمة في ديرغبار,https://qoshan.com/property/%d8%a3%d8%ae%d9%8a%d8%b1-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-%d8%a8%d8%a7%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d8%af%d8%a7%d8%a6%d9%85%d8%a9-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,روف,190,165000,868,السوق المفتوح,بارقى مناطق عمان الغربيه دير غبار حجار نوابلسه شقه بمساحه 190 م طابق اول او ثاني او ثالث مع روف,
دير غبار,روف,187,166000,888,السوق المفتوح,شقة فاخرة للبيع في دير غبار - حي السهل  - قرب مدارس القمة طابق ثالث مع روف دوبلكس 187م لم تسكن,
دير غبار,روف,180,160000,889,السوق المفتوح,شقة فاخرة للبيع في دير غبار  - خلف زيت وزعتر طابق ثالث 180م مع روف 100م تشطيب سوبر ديلوكس,
دير غبار,روف,205,190000,927,السوق المفتوح,شقه طابق ثالث مع روف بمساحه كليه 205 م بارقى مناطق دير غبار حجار نوابلسه عل شارعين 24 م/12 م,
دير غبار,روف,135,130000,963,السوق المفتوح,شقة مفروشة فاخرة للبيع في دير غبار  - خلف زيت وزعتر طابق ثالث مع روف دوبلكس 135م تشطيب سوبر ديلوكس,
دير غبار,روف,230,225000,978,السوق المفتوح,شقة فاخرة للبيع في دير غبار - حي السهل  - قرب مدارس القمة طابق ثالث مع روف دوبلكس 230م لم تسكن,
دير غبار,روف,275,275000,1000,السوق المفتوح,شقة طابق ثالث مع روف واسع 275م – مشروع هاشم,
دير غبار,روف,190,190000,1000,السوق المفتوح,شقة دوبليكس مع روف مساحة 190م باجمل مناطق دير غبار,
دير غبار,روف,180,198000,1100,قوشان,طابق أخير 180م مع رووف في دير غبار,https://qoshan.com/property/%d8%b7%d8%a7%d8%a8%d9%82-%d8%a3%d8%ae%d9%8a%d8%b1-180%d9%85-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,روف,380,425000,1118,قوشان,أخير مع رووف في أجمل مواقع دير غبار بإطلالة فخمة,https://qoshan.com/property/%d8%a3%d8%ae%d9%8a%d8%b1-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-%d9%81%d9%8a-%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8%d8%a7%d8%b1-%d8%a8%d8%a5%d8%b7%d9%84/
دير غبار,روف,150,170000,1133,قوشان,أخير مع رووف في موقع حيوي في دير غبار,https://qoshan.com/property/%d8%a3%d8%ae%d9%8a%d8%b1-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-%d9%81%d9%8a-%d9%85%d9%88%d9%82%d8%b9-%d8%ad%d9%8a%d9%88%d9%8a-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1-%d8%ba%d8%a8%d8%a7%d8%b1/
دير غبار,روف,209,240000,1148,قوشان,طابق أخير 209 م مع رووف بإطلالة فخمة في دير غبار,https://qoshan.com/property/%d8%b7%d8%a7%d8%a8%d9%82-%d8%a3%d8%ae%d9%8a%d8%b1-209-%d9%85-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-%d8%a8%d8%a5%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%81%d8%ae%d9%85%d8%a9-%d9%81%d9%8a-%d8%af%d9%8a%d8%b1/
دير غبار,روف,300,390000,1300,السوق المفتوح,شقه دير غبار أبراج العقارية - 300م روف دوبليكس,
دير غبار,روف,235,315000,1340,السوق المفتوح,شقة فاخرة للبيع في دير غبار - قرب جونيا طابق ثالث 235م مع روف 150م لم تسكن,
عبدون,أرضي,150,77000,513,السوق المفتوح,شقة أرضية مفروشة فاخرة للبيع في عبدون الشمالي قرب السفارة اليابانية 150م تشطيب سوبر ديلوكس بسعر مغري,
عبدون,أرضي,210,135000,643,السوق المفتوح,في أرقى مناطق عبدون شقة شبه أرضي مع حديقة 210م  مفروشة  وبسعر مغري / ref 1022,
عبدون,أرضي,200,130000,650,السوق المفتوح,شقة أرضية مفروشة فاخرة للبيع في عبدون  - قرب السفارة البريطانية 200م تشطيب سوبر ديلوكس بسعر مغري,
عبدون,أرضي,200,139000,695,السوق المفتوح,في أرقى مناطق عبدون شقة مفروشة أرضي معلق 200م بسعر مميز وتشطيبات راقيه/ ref 9557,
عبدون,أرضي,230,180000,783,السوق المفتوح,شقة أرضية جديدة للبيع عبدون مساحات 230م مع تراسات و حدائق تشطيبات ديكورات سوبر ديلوكس بأسعار مميزة,
عبدون,أرضي,288,230000,799,قوشان,شقة أرضية 288م بموقع مميز في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-288%d9%85-%d8%a8%d9%85%d9%88%d9%82%d8%b9-%d9%85%d9%85%d9%8a%d8%b2-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,198,160000,808,قوشان,شقة أرضية مع حديقة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,455,400000,879,السوق المفتوح,تملك عقار مميز شقة أرضي معلق 455م بتشطيبات مميزة في أجمل مناطق عبدون / ref 9399,
عبدون,أرضي,320,290000,906,قوشان,أرضية طابقية مع حديقة كبيرة في عبدون,https://qoshan.com/property/%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%83%d8%a8%d9%8a%d8%b1%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,115,105000,913,السوق المفتوح,شقة مفروشة فاخرة للبيع في عبدون  - قرب إشارة السفارة الأمريكية طابق ارضي 115م تشطيب سوبر ديلوكس,
عبدون,أرضي,325,300000,923,قوشان,شقة أرضية 205م مع بركة سباحة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-205%d9%85-%d9%85%d8%b9-%d8%a8%d8%b1%d9%83%d8%a9-%d8%b3%d8%a8%d8%a7%d8%ad%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
