area,floor_type,size_m2,price_jod,price_per_m2,source,title,url
عبدون,أرضي,275,430000,1564,قوشان,شقة أرضية 4نوم بأجمل مواقع عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-4%d9%86%d9%88%d9%85-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,230,380000,1652,السوق المفتوح,شقة أرضية مميزة 230م داخلي / 50م خارجي في أجمل مناطق عبدون/ ref 4081,
عبدون,أرضي,,,,قوشان,شقق أرضية 2 و 3 نوم مع حديقة في أرقى أحياء عبدون,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-2-%d9%88-3-%d9%86%d9%88%d9%85-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%81%d9%8a-%d8%a3%d8%b1%d9%82%d9%89-%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9/
عبدون,أرضي,200,,,قوشان,شقق أرضية مع حدائق واسعة بأجمل مواقع عبدون,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d8%a7%d8%a6%d9%82-%d9%88%d8%a7%d8%b3%d8%b9%d8%a9-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8/
عبدون,أرضي,,135000,,قوشان,شقة أرضية 90م مع تراسات واسعة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-90%d9%85-%d9%85%d8%b9-%d8%aa%d8%b1%d8%a7%d8%b3%d8%a7%d8%aa-%d9%88%d8%a7%d8%b3%d8%b9%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,,270000,,قوشان,شقة أرضية 200م بتشطيبات مميزة في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-200%d9%85-%d8%a8%d8%aa%d8%b4%d8%b7%d9%8a%d8%a8%d8%a7%d8%aa-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضي,,270000,,قوشان,شقة أرضية مع كراجين بمساحة 200م,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d9%83%d8%b1%d8%a7%d8%ac%d9%8a%d9%86-%d8%a8%d9%85%d8%b3%d8%a7%d8%ad%d8%a9-200%d9%85/
عبدون,روف,362,235000,649,قوشان,رووف طابقي 3 نوم بأجمل اطلالة في عبدون,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a-3-%d9%86%d9%88%d9%85-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d8%a7%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,روف,175,120000,686,السوق المفتوح,شقة مفروشة فاخرة للبيع في عبدون  -  قرب إشارة الملكية الأردنية طابق ثالث 175م مع روف 85م بسعر مغري,
عبدون,روف,280,200000,714,قوشان,رووف دوبلكس بأعلى التشطيبات في عبدون,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d8%a8%d8%a3%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d8%aa%d8%b4%d8%b7%d9%8a%d8%a8%d8%a7%d8%aa-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
